prompt,response,Lolbin (0.05),Content (0.4),Frequency (0.2),Source (0.1),Network (0.1),Behavioural (0.1),History (0.05),Score,Label,,
dir,list files,none,none,none,none,none,none,none,0,benign,,
eventvwr.exe,"Potential use in a cyberattack: Viewing and manipulating event logs to cover tracks or gather information.
What it might do on a Windows machine: Launch the Event Viewer, a tool for viewing and managing system and application logs.",eventvwr.exe,none,none,none,none,none,none,0.05,benign,,
rundll32.exe AllTheThingsx64,This is not a valid command.,rundll32.exe,none,none,none,none,none,none,0.05,benign,,
wab.exe,"Potential use in a cyberattack: Harvest email addresses and contact information from Windows Address Book.
What it might do on a Windows machine: Launch the Windows Address Book application.",wab.exe,none,none,none,none,none,none,0.05,benign,,
wsreset.exe,"Potential use in a cyberattack: Resetting Windows Store cache to bypass application whitelisting or to clear traces of malicious activity.
What it might do on a Windows machine: Reset Windows Store cache and delete all installed apps' data.",wsreset.exe,none,none,none,none,none,none,0.05,benign,,
\.Watson.exe,"Potential use in a cyberattack: None, it is a legitimate Windows process used for error reporting.
What it might do on a Windows machine: It is responsible for collecting and sending error reports to Microsoft.",Watson.exe,none,none,none,none,none,none,0.05,benign,,
powershell ,Open PowerShell shell,powershell ,none,none,none,none,none,none,0.05,benign,,
cmd ,Open a new CMD window,cmd ,none,none,none,none,cmd,none,0.05,benign,,
. .\SharpHound.ps1,"This command executes the SharpHound PowerShell script, which can be used to gather information about Active Directory environments for reconnaissance purposes in a cyberattack.",none,none,none,none,none,SharpHound.ps1,none,0.1,benign,,
vssadmin list shadows,"Potential use: Finding and accessing shadow copies of files for data exfiltration or recovery.
What it does: Lists all shadow copies of files on the system.",none,none,none,none,none,list,none,0.10,benign,,
dir /a /s,"List all files (including hidden/system), recursively",none,none,none,none,none,/a /s,none,0.1,benign,,
ping google.com,Test internet connectivity,none,none,none,none,google.com,none,none,0.1,benign,,
ping 172.20.3.2,Test network connectivity,none,none,none,none,172.20.3.2,none,none,0.1,benign,,
arp -a,View ARP cache,none,none,none,none,none,arp -a,none,0.1,benign,,
net share,List shared folders,none,none,none,none,none,net share,none,0.1,benign,,
net view \\hostname,View shared resources on a host,none,none,none,none,none,view \\hostname,none,0.1,benign,,
cls,clear screen,none,none,none,none,none,cls,none,0.1,benign,,
logoff,Log off current session,none,none,none,none,none,logoff,none,0.1,benign,,
whoami /groups,Show user and group memberships,none,none,none,none,none,whoami /groups,none,0.1,benign,,
set,Show environment variables,none,none,none,none,none,set,none,0.1,benign,,
ren oldname.txt newname.txt,rename file,none,none,none,none,none,ren,none,0.1,benign,,
hostname,Get computer name,none,none,none,none,none,hostname,none,0.1,benign,,
systeminfo,Full system info,none,none,none,none,none,systeminfo,none,0.1,benign,,
ipconfig /all,Full network configuration,none,none,none,none,none,ipconfig /all,none,0.1,benign,,
tasklist /v,Detailed running process,none,none,none,none,none,tasklist /v,none,0.1,benign,,
shutdown /r /f /t 60,Restart computer after 60 seconds,none,none,none,none,none,shutdown /r /f /t 60,none,0.1,benign,,
shutdown /s /f /t 0,Shutdown computer immediately,none,none,none,none,none,shutdown /s /f /t 0,none,0.1,benign,,
defrag C: /U /V,Defragment drive C,none,none,none,none,none,defrag C: /U /V,none,0.1,benign,,
diskpart,Launch disk partition tool (interactive),none,none,none,none,none,diskpart,none,0.1,benign,,
sfc /scannow,Scan and repair system files,none,none,none,none,none,sfc /scannow,none,0.1,benign,,
chkdsk C: /f,Check disk and fix errors,none,none,none,none,none,chkdsk C: /f,none,0.1,benign,,
date ,Display or set the date,none,none,none,none,none,date,none,0.1,benign,,
time,Display or set the system time,none,none,none,none,none,time,none,0.1,benign,,
echo,Display messages or variables,none,none,none,none,none,echo,none,0.1,benign,,
path,Display or set a search path for executable files,none,none,none,none,none,path,none,0.1,benign,,
mklink,Create symbolic or hard links,none,none,none,none,none,mklink,none,0.1,benign,,
tasklist,List currently running processes,none,none,none,none,none,tasklist,none,0.1,benign,,
route PRINT -4,print route ipv4,none,none,none,none,none,route PRINT -4,none,0.1,benign,,
route PRINT -6,print route ipv6,none,none,none,none,none,route PRINT -6,none,0.1,benign,,
getmac, retrieve the MAC (Media Access Control) addresses of your network interfaces.,none,none,none,none,none,getmac,none,0.1,benign,,
driverquery,List installed device drivers,none,none,none,none,none,driverquery,none,0.1,benign,,
chkdsk,Check a disk and display a status report,none,none,none,none,none,chkdsk,none,0.1,benign,,
help,Provide help information for commands,none,none,none,none,none,help,none,0.1,benign,,
vol,Display disk volume label and serial number,none,none,none,none,none,vol,none,0.1,benign,,
shutdown,Shut down or restart the computer,none,none,none,none,none,shutdown,none,0.1,benign,,
quser,Display user session information,none,none,none,none,none,quser,none,0.1,benign,,
query user,List users on the system,none,none,none,none,none,query user,none,0.1,benign,,
query session,Display session information,none,none,none,none,none,query session,none,0.1,benign,,
query process,Display process information,none,none,none,none,none,query process,none,0.1,benign,,
netstat,Display network connections and statistics,none,none,none,none,none,netstat,none,0.1,benign,,
restart-computer,Restart the computer (PowerShell),none,none,none,none,none,restart-computer,none,0.1,benign,,
nslookup,Query Internet name servers,none,none,none,none,none,nslookup,none,0.1,benign,,
net time,Synchronize system time with a server,none,none,none,none,none,net time,none,0.1,benign,,
start,Start a separate window to run a program or command,none,none,none,none,none,start,none,0.1,benign,,
exit,Exit the command prompt or script,none,none,none,none,none,exit,none,0.1,benign,,
cleanmgr,Open Disk Cleanup utility,none,none,none,none,none,cleanmgr,none,0.1,benign,,
sc query,Query the status of services,none,none,none,none,none,sc query,none,0.1,benign,,
winget list,List installed packages,none,none,none,none,none,winget list,none,0.1,benign,,
winget search id,Search for available packages by ID,none,none,none,none,none,winget search id,none,0.1,benign,,
winget search name,Search for available packages by name,none,none,none,none,none,winget search name,none,0.1,benign,,
winget search moniker,Search for available packages by moniker,none,none,none,none,none,winget search moniker,none,0.1,benign,,
winget search tag,Search for available packages by tag,none,none,none,none,none,winget search tag,none,0.1,benign,,
type test.txt,Display contents of a text file,none,none,none,none,none,type test.txt,none,0.1,benign,,
echo Hello World,Display text,none,none,none,none,none,echo Hello World,none,0.1,benign,,
netstat -rn,show routing table,none,none,none,none,none,netstat -rn,none,0.1,benign,,
sfc /scannow ,Scan and repair system files,none,none,none,none,none,sfc /scannow ,none,0.1,benign,,
netstat -an ,View all active network connections,none,none,none,none,none,netstat -an ,none,0.1,benign,,
net config workstation,Show network config,none,none,none,none,none,net config workstation,none,0.1,benign,,
dir /s /b,List all files recursively,none,none,none,none,none,dir /s /b,none,0.1,benign,,
attrib ,View or set file attributes,none,none,none,none,none,attrib ,none,0.1,benign,,
"find /c /i ""error"" log.txt ","Count ""error"" lines in file",none,none,none,none,none,"find /c /i ""error"" log.txt ",none,0.1,benign,,
notepad ,Open Notepad,none,none,none,none,none,notepad,none,0.1,benign,,
calc ,Open Calculator,none,none,none,none,none,calc ,none,0.1,benign,,
control ,Open Control Panel,none,none,none,none,none,control ,none,0.1,benign,,
control printers ,Open Printers folder,none,none,none,none,none,control printers ,none,0.1,benign,,
explorer C:\ ,Open File Explorer,none,none,none,none,none,explorer C:\ ,none,0.1,benign,,
taskmgr ,Launch Task Manager,none,none,none,none,none,taskmgr ,none,0.1,benign,,
msinfo32 ,Open system information GUI,none,none,none,none,none,msinfo32 ,none,0.1,benign,,
devmgmt.msc,Open Device Manager,none,none,none,none,none,devmgmt.msc,none,0.1,benign,,
dxdiag, Launch DirectX diagnostic,none,none,none,none,none,dxdiag,none,0.1,benign,,
compmgmt.msc ,Open Computer Management,none,none,none,none,none,compmgmt.msc ,none,0.1,benign,,
eventvwr ,Open Event Viewer,none,none,none,none,none,eventvwr ,none,0.1,benign,,
services.msc ,Open Services Manager,none,none,none,none,none,services.msc ,none,0.1,benign,,
mstsc, Launch Remote Desktop,none,none,none,none,none,mstsc,none,0.1,benign,,
gpresult /R ,View applied group policies,none,none,none,none,none,gpresult /R ,none,0.1,benign,,
tree C:\ /f ,Show directory tree,none,none,none,none,none,tree C:\ /f ,none,0.1,benign,,
assoc ,Show file extension associations,none,none,none,none,none,assoc ,none,0.1,benign,,
ftype,Show file type associations,none,none,none,none,none,ftype,none,0.1,benign,,
fsutil fsinfo drives ,Show available drives,none,none,none,none,none,fsutil fsinfo drives ,none,0.1,benign,,
powercfg /lastwake,Show last wake cause,none,none,none,none,none,powercfg /lastwake,none,0.1,benign,,
fsutil volume diskfree C: ,Show free space,none,none,none,none,none,fsutil volume diskfree C: ,none,0.1,benign,,
powercfg /a ,Show sleep states available,none,none,none,none,none,powercfg /a ,none,0.1,benign,,
powercfg /batteryreport ,Generate battery report,none,none,none,none,none,powercfg /batteryreport ,none,0.1,benign,,
cmdkey /list,"This command can be used to list all stored credentials on a Windows machine, which can be useful for an attacker to gain access to sensitive information or systems.",cmdkey,none,none,none,none,/list,none,0.15,benign,,
explorer.exe /root,"Potential use: Launches Windows Explorer with a specific folder as the root directory.
Cyberattack use: Can be used to navigate to sensitive directories and steal data or execute malicious files.",explorer.exe,none,none,none,none,/root,none,0.15,benign,,
Gpscript /logon,"Potential use: Execute a script during user logon.
What it does: Runs a specified script during user logon.",Gpscript,none,none,none,none,/logon,none,0.15,benign,,
ie4uinit.exe -BaseSettings,"Potential use: Launch Internet Explorer with default settings to bypass security restrictions.
What it does: Initializes Internet Explorer with default settings.",ie4uinit.exe,none,none,none,none,-BaseSettings,none,0.15,benign,,
Msconfig.exe -5,"This command does not exist. The correct command is ""msconfig"" and it is used to configure system startup and services. It could potentially be used to disable security software or enable malicious services during a cyberattack.",Msconfig.exe,none,none,none,none,-5,none,0.15,benign,,
pktmon.exe start --etw,"Potential use: Network reconnaissance and monitoring.
What it does: Starts packet capture and logging using Event Tracing for Windows (ETW) for network traffic analysis.",pktmon.exe,none,none,none,none,"start,--etw",none,0.15,benign,,
Runonce.exe /AlternateShellStartup,"Potential use: Persistence and privilege escalation.
What it does: Executes a command or script once during the next boot of the system, using an alternate shell instead of the default one.",Runonce.exe,none,none,none,none,/AlternateShellStartup,none,0.15,benign,,
TTTracer.exe -dumpFull -attach pid,"Potential use: Dumping memory of a specific process for analysis.
What it does: Dumps the full memory of a process with a specific process ID.",TTTracer.exe,none,none,none,none,"-dumpfull,-attach",none,0.15,benign,,
